Sehir,Ilk Doz,Ikinci Doz,Toplam Doz
Adana,568.843,339.022,907.865
Adıyaman,129.410,74.209,203.619
Afyon,224.243,132.997,357.240
Ağrı,74.050,36.352,110.402
Amasya,137.574,83.532,221.106
Ankara,2.063.181,1.184.113,3.247.294
Antalya,797.387,502.528,1.299.915
Artvin,64.447,41.483,105.930
Aydın,441.665,279.111,720.776
Balıkesir,529.328,347.472,876.800
Bilecik,85.077,47.313,132.390
Bingöl,46.015,29.261,75.276
Bitlis,37.951,22.453,60.404
Bolu,123.462,72.402,195.864
Burdur,103.248,63.704,166.952
Bursa,931.455,522.824,1.454.279
Çanakkale,244.116,155.689,399.805
Çankırı,65.638,44.026,109.664
Çorum,190.048,116.499,306.547
Denizli,356.312,203.492,559.804
Diyarbakır,229.668,128.312,357.980
Edirne,180.548,119.114,299.662
Elazığ,152.162,96.744,248.906
Erzincan,73.422,46.772,120.194
Erzurum,162.165,101.858,264.023
Eskişehir,361.995,207.147,569.142
Gaziantep,375.388,196.091,571.479
Giresun,169.586,119.288,288.874
Gümüşhane,34.264,23.430,57.694
Hakkari,31.966,12.994,44.960
Hatay,382.399,212.830,595.229
Isparta,166.544,103.163,269.707
Mersin,557.654,335.864,893.518
İstanbul,4.481.081,2.306.302,6.787.383
İzmir,1.639.714,966.478,2.606.192
Kars,62.519,36.215,98.734
Kastamonu,143.993,95.970,239.963
Kayseri,403.139,238.036,641.175
Kırklareli,155.265,95.819,251.084
Kırşehir,85.697,52.742,138.439
Kocaeli,572.556,306.230,878.786
Konya,588.409,357.899,946.308
Kütahya,201.276,118.018,319.294
Malatya,229.426,141.879,371.305
Manisa,493.034,270.786,763.820
Kahramanmaraş,241.719,142.190,383.909
Mardin,91.503,50.416,141.919
Muğla,453.829,268.536,722.365
Muş,47.848,27.699,75.547
Nevşehir,97.920,56.801,154.721
Niğde,96.851,57.642,154.493
Ordu,281.645,180.501,462.146
Rize,114.191,74.903,189.094
Sakarya,295.083,176.203,471.286
Samsun,426.298,277.609,703.907
Siirt,34.598,18.628,53.226
Sinop,87.172,59.398,146.570
Sivas,193.193,120.150,313.343
Tekirdağ,328.868,199.374,528.242
Tokat,201.901,132.611,334.512
Trabzon,275.042,178.067,453.109
Tunceli,34.649,22.396,57.045
Şanlıurfa,196.389,103.374,299.763
Uşak,128.400,77.669,206.069
Van,163.648,83.761,247.409
Yozgat,121.141,78.627,199.768
Zonguldak,216.778,133.888,350.666
Aksaray,98.333,60.007,158.340
Bayburt,18.882,12.402,31.284
Karaman,74.816,46.516,121.332
Kırıkkale,90.505,57.048,147.553
Batman,82.533,46.270,128.803
Şırnak,51.013,22.031,73.044
Bartın,71.590,47.044,118.634
Ardahan,27.540,17.564,45.104
Iğdır,33.979,19.409,53.388
Yalova,103.285,63.807,167.092
Karabük,85.777,54.793,140.570
Kilis,32.891,17.050,49.941
Osmaniye,150.403,92.556,242.959
Düzce,113.667,70.671,184.338
