Sehir,Ilk Doz,Ikinci Doz,Toplam Doz,Calisma Zamani
Adana,568909,339030,907939,17/06/2021 13:50
Adıyaman,129423,74211,203634,17/06/2021 13:50
Afyon,224270,132999,357269,17/06/2021 13:50
Ağrı,74063,36352,110415,17/06/2021 13:50
Amasya,137584,83532,221116,17/06/2021 13:50
Ankara,2063367,1184123,3247490,17/06/2021 13:50
Antalya,797466,502536,1300002,17/06/2021 13:50
Artvin,64451,41483,105934,17/06/2021 13:50
Aydın,441706,279118,720824,17/06/2021 13:50
Balıkesir,529377,347476,876853,17/06/2021 13:50
Bilecik,85097,47313,132410,17/06/2021 13:50
Bingöl,46020,29261,75281,17/06/2021 13:50
Bitlis,37955,22453,60408,17/06/2021 13:50
Bolu,123471,72402,195873,17/06/2021 13:50
Burdur,103259,63705,166964,17/06/2021 13:50
Bursa,931568,522839,1454407,17/06/2021 13:50
Çanakkale,244142,155691,399833,17/06/2021 13:50
Çankırı,65656,44026,109682,17/06/2021 13:50
Çorum,190058,116499,306557,17/06/2021 13:50
Denizli,356347,203495,559842,17/06/2021 13:50
Diyarbakır,229691,128314,358005,17/06/2021 13:50
Edirne,180566,119114,299680,17/06/2021 13:50
Elazığ,152170,96744,248914,17/06/2021 13:50
Erzincan,73425,46772,120197,17/06/2021 13:50
Erzurum,162177,101860,264037,17/06/2021 13:50
Eskişehir,362029,207150,569179,17/06/2021 13:50
Gaziantep,375458,196091,571549,17/06/2021 13:50
Giresun,169593,119289,288882,17/06/2021 13:50
Gümüşhane,34267,23430,57697,17/06/2021 13:50
Hakkari,31970,12994,44964,17/06/2021 13:50
Hatay,382450,212834,595284,17/06/2021 13:50
Isparta,166553,103164,269717,17/06/2021 13:50
Mersin,557693,335868,893561,17/06/2021 13:50
İstanbul,4481625,2306326,6787951,17/06/2021 13:50
İzmir,1639885,966485,2606370,17/06/2021 13:50
Kars,62524,36215,98739,17/06/2021 13:50
Kastamonu,144007,95972,239979,17/06/2021 13:50
Kayseri,403167,238037,641204,17/06/2021 13:50
Kırklareli,155291,95821,251112,17/06/2021 13:50
Kırşehir,85707,52742,138449,17/06/2021 13:50
Kocaeli,572641,306233,878874,17/06/2021 13:50
Konya,588458,357900,946358,17/06/2021 13:50
Kütahya,201292,118019,319311,17/06/2021 13:50
Malatya,229441,141879,371320,17/06/2021 13:50
Manisa,493107,270791,763898,17/06/2021 13:50
Kahramanmaraş,241749,142194,383943,17/06/2021 13:50
Mardin,91510,50417,141927,17/06/2021 13:50
Muğla,453883,268538,722421,17/06/2021 13:50
Muş,47852,27699,75551,17/06/2021 13:50
Nevşehir,97930,56801,154731,17/06/2021 13:50
Niğde,96858,57642,154500,17/06/2021 13:50
Ordu,281669,180502,462171,17/06/2021 13:50
Rize,114201,74903,189104,17/06/2021 13:50
Sakarya,295137,176207,471344,17/06/2021 13:50
Samsun,426340,277612,703952,17/06/2021 13:50
Siirt,34599,18628,53227,17/06/2021 13:50
Sinop,87180,59398,146578,17/06/2021 13:50
Sivas,193205,120151,313356,17/06/2021 13:50
Tekirdağ,328915,199377,528292,17/06/2021 13:50
Tokat,201908,132612,334520,17/06/2021 13:50
Trabzon,275065,178067,453132,17/06/2021 13:50
Tunceli,34649,22396,57045,17/06/2021 13:50
Şanlıurfa,196404,103376,299780,17/06/2021 13:50
Uşak,128410,77670,206080,17/06/2021 13:50
Van,163666,83762,247428,17/06/2021 13:50
Yozgat,121152,78627,199779,17/06/2021 13:50
Zonguldak,216805,133891,350696,17/06/2021 13:50
Aksaray,98342,60007,158349,17/06/2021 13:50
Bayburt,18883,12402,31285,17/06/2021 13:50
Karaman,74820,46516,121336,17/06/2021 13:50
Kırıkkale,90516,57050,147566,17/06/2021 13:50
Batman,82543,46270,128813,17/06/2021 13:50
Şırnak,51019,22031,73050,17/06/2021 13:50
Bartın,71597,47044,118641,17/06/2021 13:50
Ardahan,27545,17564,45109,17/06/2021 13:50
Iğdır,33982,19410,53392,17/06/2021 13:50
Yalova,103299,63807,167106,17/06/2021 13:50
Karabük,85779,54793,140572,17/06/2021 13:50
Kilis,32892,17050,49942,17/06/2021 13:50
Osmaniye,150420,92556,242976,17/06/2021 13:50
Düzce,113688,70672,184360,17/06/2021 13:50
